anger,sadness,disgust,happy,surprise,fear,Negative words,Pos
abhor,abandon,abhorr,accomplish,admir,affright,cannot,VB
abhorr,abject,abhorrent,action,admiration,afraid,could not,VBD
abhorrence,abrupt,abomin,activated,amaz,alarm,did not,VBG
ablaze,adjourn,abominably,admir,amaze,alarmed,does not,VBN
abomin,admonish,churn up,admirable,amazed,alert,had no,VBP
abominate,aggriev,detest,admirably,amazement,anxious,have no,VBZ
abomination,aggrieve,detestable,admiration,amazing,anxiously,may not,JJ
abound,anchor,detestably,admire,amazingly,appal,never,JJR
acerb,anguish,disgust,ador,astoni,appall,no,JJS
acerbic,anguished,disgusted,adorably,astonied,apprehens,not,NN
acid,annoy,disgustedly,adoration,astonish,apprehension,nothing,NNS
acrid,annoyed,disgustful,adoring,astonished,apprehensive,was no,NNP
acrimonious,apart,disgusting,advance,astonishing,apprehensively,was not,NNPS
affront,apartment,disgustingly,affect,astonishingly,apprehensiveness,will not,
aggrav,apathetic,distast,affection,astonishment,atroci,would not,
aggravate,attrit,distasteful,affectional,astound,atrocious,n't,
aggravated,attrition,distastefully,affectionate,astounded,aw,,
aggravation,back away,fed up,affectionateness,astounding,awful,,
aggress,back out,foul,affective,aw,awfully,,
aggression,bad,hideous,affirmative,awe,bash,,
aggressive,bare,horror,afford,awed,bashfully,,
aggressiveness,barren,loath,agitate,awestricken,bode,,
aghast,base,loathly,airheaded,awestruck,boding,,
alarm,beat,loathsom,alert,awful,browbeaten,,
amok,beat out,loathsome,amat,baffl,bulli,,
amuck,becalm,nausea,amative,baffle,bullied,,
anger,belt down,nauseat,amatori,beat,chill,,
angered,bereav,nauseate,amatory,besot,chilling,,
angri,bereave,nauseated,amic,bewild,cliff-hang,,
angrili,bereaved,nauseating,amicability,bewilder,cliff-hanging,,
angrily,bereaved person,nauseous,amicable,daze,coldhearted,,
angry,bereft,noisom,amicableness,dazed,coldheartedness,,
animos,black,noisome,amicably,dumbfound,constern,,
animosity,black bile,obscen,amor,dumbfounded,consternation,,
animus,bland,obscene,amorous,dumfound,cow,,
annoy,bleak,odious,amorousness,dumfounded,cowed,,
annoyance,blue,odiously,amuse,fantast,cower,,
annoyed,blue devil,offens,amused,fantastic,crawl,,
annoying,blue devils,offensive,animate,flabbergast,creep,,
antagon,bolt down,queasi,anticip,flabbergasted,creeps,,
antagonise,bore,queasy,anticipate,flummox,cring,,
antagonism,bored,repel,anticipation,get,cringe,,
antagonize,bother,repellant,appreci,gravel,cruel,,
apathetic,bow out,repellent,appreciated,howl,cruelli,,
appal,brace,repugn,approb,howling,cruelly,,
appall,brainish,repugnance,approbative,in awe of,cruelti,,
appalled,break down,repugnant,approbatori,marvel,cruelty,,
arrogant,broken,repuls,approbatory,marvellously,dash,,
ashen,brokenhearted,repulse,approv,marvelous,daunt,,
assault,brokenheartedness,repulsion,approval,marvelously,diffid,,
avarici,brooding,repulsive,approve,mystifi,diffidence,,
avaricious,broody,repulsively,approved,mystify,diffident,,
bad blood,call back,revolt,approving,nonplus,diffidently,,
bad temp,call in,revolting,ardor,perplex,dire,,
bad temper,calm,revoltingly,ardour,puzzl,direful,,
bad-tempered,capricious,revuls,arouse,puzzle,dismay,,
baffl,cark,revulsion,aroused,rattl,dread,,
baffle,cast down,sick,aspirant,rattling,dreaded,,
baffled,categoric,sick of,aspirer,stagger,dreadful,,
baleful,categorical,sicken,assailable,staggering,dreadfully,,
balk,chafe,sickening,attach,stun,fawn,,
balked,cheerless,sickeningly,attachment,stunned,fear,,
barbarous,cheerlessly,sickish,avid,stupefact,fearful,,
battler,cheerlessness,tired of,avidity,stupefaction,fearfully,,
bedevil,clinical depression,turn off,avidness,stupefi,fearfulness,,
begrudg,compressed,vile,bang,stupefied,fearsom,,
begrudge,compunct,wick,banter,stupefy,fearsome,,
begrudging,compunction,wicked,barrack,stupefying,forebod,,
belliger,confused,yucki,be on cloud nin,stupid,foreboding,,
belligerence,consume,yucky,be on cloud nine,stupifi,fright,,
belligerency,contemplative,,beam,stupify,frighten,,
belligerent,contrit,,beaming,superbl,frighten away,,
belligerently,contrite,,beamish,superbly,frighten off,,
bilk,contritely,,beamy,surpris,frightened,,
biting,contriteness,,beatify,surprise,frightening,,
bitingly,contrition,,becalm,surprised,frighteningly,,
bitter,crawfish,,becharm,surprisedly,frightful,,
bitterly,crawfish out,,beguil,surprising,grovel,,
bitterness,crush,,beguile,surprisingly,hangdog,,
black-and-blue,crushed,,beguiled,terrif,hardheart,,
blanched,cut down,,belong,terrific,hardhearted,,
blase,cutting,,belonging,terrifically,hardheartedness,,
blistering,dark,,benef,thunderstruck,heartless,,
bloodless,dead,,benefic,top,heartlessly,,
boil,deaf,,beneficed,toppingly,heartlessness,,
bore,debilitate,,beneficence,tremend,hesit,,
bored,deflect,,beneficent,tremendous,hesitance,,
bother,deject,,benefici,trounc,hesitancy,,
bothersom,dejected,,beneficially,trounce,hesitantly,,
bothersome,demolish,,benevol,wonder,hesitatingly,,
brainsick,demor,,benevolence,wonderful,hideous,,
breach,demoralis,,benevolent,wonderfully,hideously,,
break,demoralise,,benevolently,wonderment,horrend,,
bristle,demoralised,,bewitch,wondrous,horrendous,,
brood,demoralising,,bewitching,wondrously,horribl,,
browned off,demoralization,,blissful,,horrible,,
bruise,demoralize,,blith,,horribly,,
brutal,demoralized,,blithely,,horrid,,
burst,demoralizing,,blitheness,,horridly,,
buzz,depleted,,bonheur,,horrif,,
caustic,deplor,,boost,,horrifi,,
cense,deplorable,,bouncy,,horrific,,
certain,deplorably,,breathe in,,horrified,,
chafe,depopulate,,bright,,horrify,,
cheesed off,depress,,brisk,,horrifying,,
chesty,depressed,,brother,,horrifyingly,,
choler,depressing,,brotherhood,,horror,,
choleric,depression,,brotherlik,,horror-stricken,,
churn up,Depression,,brotherlike,,horror-struck,,
class feel,depressive,,brotherly,,hyster,,
class feeling,depressive disorder,,bucked up,,hysteria,,
cold,desert,,buoyanc,,hysterical,,
cold-blooded,desol,,buoyancy,,hysterically,,
coldness,desolate,,calf lov,,intimid,,
combatant,desolation,,calf love,,intimidate,,
come away,despair,,calm,,intimidated,,
come off,despairing,,calm air,,intimidation,,
common cold,despairingly,,calm down,,merciless,,
condemnable,desperate,,calmness,,mercilessness,,
conflagrate,despicable,,candid,,monstrous,,
contemn,despond,,capable,,monstrously,,
contemptuous,despondence,,captiv,,outrag,,
counteract,despondency,,captivate,,outrageous,,
cover,despondent,,captivated,,pall,,
covet,despondently,,captivating,,panic,,
covetous,detached,,captivation,,panic attack,,
covetously,deter,,captur,,panic-stricken,,
covetousness,devastate,,capture,,panic-struck,,
crabbed,devil,,care,,panick,,
crabby,devour,,carefre,,panicked,,
crank,dim,,carefree,,panicki,,
cranky,dingi,,carefreeness,,panicky,,
crazy,dingy,,caring,,pitiless,,
criminal,directly,,carry out,,pitilessness,,
crimson,disconnect,,carry through,,premonit,,
crisscross,disconnected,,catch,,premonition,,
critical,disconsol,,chaff,,presag,,
Cross,disconsolate,,charg,,presage,,
cross,disconsolateness,,charge,,presenti,,
crossbreed,discourag,,charge up,,presentiment,,
crossbreeding,discourage,,charit,,ruthless,,
crossing,discouraged,,charitable,,ruthlessness,,
crown of thorns,disengage,,charm,,scare,,
crucifi,dishearten,,charmed,,scare away,,
crucify,disheartened,,cheer,,scare off,,
cruel,disheartening,,cheer up,,scared,,
cut across,disjointed,,cheerful,,scarey,,
cut through,disjunct,,cheerfully,,scari,,
dander,dismal,,cheerfulness,,scarili,,
dead,dismay,,cheeri,,scarily,,
deaf,disorder,,cheering,,scary,,
decisive,disordered,,cheery,,self-distrust,,
defeated,dispirit,,chill out,,self-doubt,,
degage,dispirited,,chirk up,,shadow,,
delirious,dispiritedness,,clear,,shi,,
demented,dispiriting,,cliff-hang,,shiveri,,
deplorable,disquiet,,cliff-hanging,,shivery,,
desecrate,distract,,close,,shudderi,,
despis,distracted,,closeness,,shuddery,,
despisal,distrait,,comfort,,shy,,
despise,distress,,comfortable,,shyli,,
despising,distressed,,comfortableness,,shyly,,
despit,distressing,,comfortably,,shyness,,
despiteful,disunited,,comforting,,stage fright,,
detach,dole,,commend,,suspens,,
detached,doleful,,commendable,,suspense,,
detest,dolefully,,commove,,suspenseful,,
detestation,dolefulness,,compat,,suspensive,,
devil,dolor,,compatibility,,terribl,,
disappointed,dolorous,,compatible,,terrible,,
discomfited,dolour,,compatibly,,terrifi,,
discourag,dolourous,,complac,,terrified,,
discouraged,dour,,complacence,,terror,,
disdain,down,,complacency,,timid,,
disdainful,Down,,complacent,,timidity,,
disgust,down feather,,composure,,timidly,,
disgusted,down in the mouth,,concern,,timidness,,
dishonor,down pat,,congratul,,timor,,
dishonour,downcast,,congratulate,,timorous,,
dismay,downheart,,consol,,timorously,,
dismayed,downhearted,,console,,timorousness,,
displeas,downheartedness,,content,,trepid,,
displease,downtrodden,,contented,,trepidation,,
displeased,downward,,contentment,,trepidly,,
displeasing,downwardly,,cool it,,ugli,,
displeasingly,downwards,,cool off,,ugly,,
displeasur,drab,,crush,,unassert,,
displeasure,drain,,delight,,unassertive,,
diss,drained,,delighted,,unassertively,,
disturbed,draw,,delirious,,unassertiveness,,
drill,draw back,,devot,,uneasili,,
dudgeon,draw off,,devoted,,uneasily,,
dun,drear,,devotedness,,unkind,,
dusty,dreari,,devotion,,unsur,,
eat into,dreary,,disport,,unsure,,
endanger,drink down,,divert,,aflutter,,
enfuri,driving,,diverted,,aghast,,
enfuriate,dysphor,,divine,,alarum,,
enkindle,dysphoria,,dizzy,,alerting,,
enmiti,dysphoric,,eager,,alienated,,
enmity,economic crisis,,eagerly,,alive,,
