Fear words,Happy words,Sad words,Anger words,Negative words,Pos
aflutter,accomplish,Depression,Cross,cannot,VB
afraid,action,Down,ablaze,could not,VBD
aghast,activated,Low,abound,did not,VBG
alarm,advance,abandon,acerb,does not,VBN
alarmed,affirmative,abject,acerbic,had no,VBP
alarum,afford,abrupt,acid,have no,VBZ
alert,agitate,adjourn,acrid,may not,JJ
alerting,airheaded,admonish,acrimonious,never,JJR
alienated,alert,aggrieve,affront,no,JJS
alive,amuse,anchor,aggravate,not,NN
anomic,amused,anguish,aggravated,nothing,NNS
antsy,animate,anguished,aggressive,was no,NNP
anxious,arouse,annoy,aghast,was not,NNPS
appal,aroused,annoyed,alarm,will not,
appall,aspirant,apart,angered,would not,
appalled,aspirer,apartment,angry,n’t,
apprehension,assailable,apathetic,annoy,,
apprehensive,barrack,back_away,annoyed,,
apprehensiveness,beaming,back_out,antagonise,,
at_sea,beamish,bad,antagonize,,
aversive,beamy,bare,apathetic,,
awake,beatify,barren,appal,,
awful,becalm,base,appall,,
awkward,beguiled,beat,appalled,,
baffled,blissful,beat_out,arrogant,,
ball_over,boost,becalm,ashen,,
bear_on,bouncy,belt_down,assault,,
bedevil,breathe_in,bereave,bad-tempered,,
befuddle,bright,bereaved,baffle,,
befuddled,brisk,bereaved_person,baleful,,
bemused,bucked_up,bereft,barbarous,,
bewildered,calm,black,battler,,
blow_out_of_the_water,calm_air,black_bile,bedevil,,
blur,calm_down,bland,belligerent,,
brisk,calmness,bleak,bilk,,
broken,candid,blue,biting,,
brooding,capable,bolt_down,bitingly,,
broody,captivated,bother,bitter,,
bumpy,carry_out,bow_out,bitterly,,
care,carry_through,brace,bitterness,,
cark,charge,brainish,black-and-blue,,
cautious,charge_up,break_down,blanched,,
changeable,charmed,broken,blase,,
come_to,cheer,brokenhearted,blistering,,
concern,cheerful,brokenheartedness,bloodless,,
concerned,chill_out,brooding,boil,,
confound,clear,broody,bore,,
confounded,commove,call_back,bored,,
confuse,composure,call_in,bother,,
confused,content,calm,brainsick,,
conservative,contented,capricious,breach,,
contemplative,cool_it,cark,break,,
cowardly,cool_off,cast_down,bristle,,
curious,delight,categoric,browned_off,,
derange,delighted,categorical,bruise,,
diffident,delirious,chafe,brutal,,
dire,disport,clinical_depression,burst,,
direful,divert,compressed,buzz,,
discerning,diverted,confused,caustic,,
discombobulate,divine,consume,cense,,
discombobulated,dizzy,contemplative,certain,,
discomfit,ecstatic,crawfish,chafe,,
discompose,effulgent,crawfish_out,cheesed_off,,
disconcert,egocentric,crush,chesty,,
disconcerted,egoist,crushed,churn_up,,
disconnected,egoistic,cut_down,cold,,
disjointed,egoistical,cutting,cold-blooded,,
dismay,elate,dark,coldness,,
dismayed,elated,dead,combatant,,
disorder,elysian,deaf,come_away,,
disordered,emotional,debilitate,come_off,,
disorient,empty-headed,deflect,common_cold,,
disorientate,enchant,deject,condemnable,,
disoriented,encourage,dejected,conflagrate,,
disquiet,encouraged,demolish,contemptuous,,
disquieted,energise,demoralise,counteract,,
distract,energize,demoralised,cover,,
distressed,enjoy,demoralize,crabbed,,
distrustful,enliven,demoralized,crabby,,
disturbed,enrapture,depleted,crank,,
doubtful,enraptured,deplorable,cranky,,
dread,entertained,depopulate,crazy,,
dreaded,enthral,depress,criminal,,
dreadful,enthrall,depressed,crimson,,
dubious,enthralled,depression,crisscross,,
dubitable,entranced,depressive_disorder,critical,,
dying,equanimity,desert,cross,,
edgy,eudaemonia,desolate,crossbreed,,
enervate,eudaimonia,despair,crossbreeding,,
faint,exalt,despairing,crossing,,
faint-hearted,excite,desperate,crown_of_thorns,,
fainthearted,excited,despicable,crucify,,
faze,execute,detached,cruel,,
fear,exhilarate,deter,cut_across,,
fearful,exhort,devastate,cut_through,,
fearsome,exposed,devil,deaf,,
fidgety,exultant,devour,decisive,,
fishy,exulting,dim,defeated,,
flighty,favorable,dingy,degage,,
floor,featherbrained,directly,delirious,,
flurry,felicitous,disconnect,demented,,
flustered,festal,disconnected,deplorable,,
fox,festive,disconsolate,desecrate,,
fretful,fill,discourage,despiteful,,
frightened,frantic,discouraged,detach,,
frightening,frenzied,disengage,detached,,
frightful,friendly,disheartened,devil,,
fuddle,fulfil,disjointed,disappointed,,
funny,fulfill,disjunct,discomfited,,
galvanise,fulfilled,dismal,disdainful,,
galvanize,full_of_life,dismay,disgust,,
garbled,further,disorder,disgusted,,
have-to_doe_with,gay,disordered,dishonor,,
hesitant,giddy,dispirit,dishonour,,
hesitating,give,dispirited,dismay,,
high-strung,glad,disquiet,dismayed,,
highly_strung,gladiola,distract,displease,,
horrendous,gladiolus,distracted,displeased,,
horrific,gleeful,distrait,diss,,
horrified,good_for_you,distressing,disturbed,,
horrify,goodish,disunited,drill,,
horror-stricken,goodly,doleful,dun,,
horror-struck,gratify,dour,dusty,,
hot_and_bothered,grin,down,eat_into,,
ill_at_ease,grinning,down_feather,endanger,,
illogical,happy,down_in_the_mouth,enkindle,,
implicated,healthy,down_pat,enraged,,
in_question,heart-to-heart,downcast,evil,,
indecisive,hefty,downhearted,exacerbate,,
insecure,hopeful,downtrodden,exasperate,,
insomniac,indulge,downward,exasperated,,
instinctive,inebriate,downwardly,excited,,
